Product:,"Ricoh 910725 Theta V camera, Metallic Gray"
URL:,https://www.amazon.ca/Ricoh-Theta-camera-Metallic-Gray/dp/B074W5BKYS/ref=sr_1_1_sspa?dchild=1&keywords=electronics&qid=1606075994&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzS0gzVkdONUtPNldWJmVuY3J5cHRlZElkPUEwMTUwNDQ1MTZNWjZMNzc3MjIyTCZlbmNyeXB0ZWRBZElkPUEwOTAzODIwMlk1WDNGVDhGSFhESCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Price:,439.00
Overall Rating:,4.4 out of 5 stars
Reviews:
Title,Rating,Review,Date,Author
"Huge improvements over the previous Theta, but the V still has some huge limitations that affect its performance",3.0,"I almost bought Ricoh's previous version of the Theta about a year ago, but where I felt it fell short was the picture quality. Fast-forward to the release of this new 4K version and I knew it was something I needed to at least try. As a preface to my review, I'm a professional photographer and videographer and I also instruct both subjects, so there were lots of ideas and potential uses I had for this device. First, let me start off by highlighting the GOOD things about the Theta V, because unfortunately in my opinion there are far fewer positive things than negative when it comes to this little doodad: - The physical design and footprint of the device is good - it's relatively small and unobtrusive which makes it totally viable for recording a small or private event without being in the way. It does have LEDs when it's on and recording, but in my opinion they are not distracting which is also a good thing. - It's easy to use - when the app connects properly, it's quite simple and straightforward to use. I say when because in my experience with the Theta I've had a lot of connectivity issues in terms of my phone dropping the connection to the camera, even when I'm standing right next to it...but I'll talk more about that when I get to the cons below. - The software is also easy to use - when it comes to importing and converting your files to be compatible in a 360 space, it's as simple and dragging and dropping the original file into the window, selecting where you want the converted file to be saved, and that's pretty much it. There are a couple of other options available as well: one lets you downsample the quality from 4K to HD, and the other lets you choose whether you want the stitching software to ""fix"" the top and bottom of the file...all in all, it's quite easy to use which I was really happy about since sometimes the software you need to operate special camera equipment can be more difficult to figure out than the equipment itself. - The standard tripod mount on the bottom of the Theta makes it compatible with just about any tripod and makes it mountable just about anywhere, and it can also be used handheld, so it's very versatile in that regard. - The battery life seems fairly on-par with the limited internal memory - I'm listing this as a pro because the battery did last long enough for me to record the footage I needed, but if your plan is to use it professionally you may find that both the internal storage and battery life are limiting. - The flat bottom - I'm really glad they made the bottom flat so that you can just stand it up on a flat surface. There might only be specific situations where you could or would want to use it like that, but I'm glad it's at least possible. - One thing I like about the app is that you can view the camera feed output in stitched or unstitched view which is sometimes helpful to be able to switch back and forth so easily. Okay, now onto the BAD things about the Theta V...here we go: - One of the biggest and most frustrating issues with the Theta V, as I see it, is that you lose access to live view through the app while you are recording. So when the camera is setup but not recording, you can see what the camera sees inside the app (in stitched or unstitched view). But as soon as you start recording, live view is no longer available inside the app until you stop recording. I understand that they maybe couldn't have programmed it to have live view while filming, but all I'm saying is that it is a major downside to not be able to see what you're capturing as you're capturing it. This was a huge strike against the Theta V for me. - Due to the file format and how the 360 video files need to be converted before they can work properly in a 360 space, I could not seem to play any of my recordings back through the app. I know you can configure the camera to work as a remote to watch live playback on a television, but frankly this feature is pretty useless in a lot of (most) situations since how often are you going to have access to a TV for playback? Maybe there is a way to watch your recordings in the app, but I couldn't not figure out how. Again, it's a small inconvenience but when you stack it on top of all the other small inconveniences, well...you'll see what my verdict is. - No expandable storage OR exchangeable batteries - if the first two cons I listed weren't dealbreakers for you, this one very well could be. You are limited not only by the internal storage of 19GB (which is not much, especially when it comes to 4K video) but you're also limited to its built-in battery. No, you cannot expand the memory with a MicroSD card once the internal memory is full. No, you cannot purchase extra batteries to be able to continue using the camera after the internal battery dies. In my opinion, these types of limitations are pretty inexcusable in 2017. Even if these were the only two things that they ""fix"" for the next version of the Theta, it would be an immensely more useful device. - Another con is that there are visible stitch lines in certain weather and/or certain lighting situations. Obviously the stitching can't be perfect, so if you're expecting it to be, you're likely going to be disappointed. The way they stitch the videos together is quite good in my opinion and certainly usable, but again, just don't expect it to look perfect. - In my experience, even the picture quality on this 4K Theta seems a little poor. Based on my comparisons with footage shot with the previous version of the Theta the quality is certainly much better, but when you compare it to footage shot with an actual 4K camera it definitely doesn't measure up. Which is to be expected because the thing only costs $500...I would expect a $1,000+ DSLR to produce better quality so this isn't really a surprise, but it was a little disappointing nonetheless that the quality wasn't still a little better than it is. - I do like that Ricoh included a soft pouch for carrying the Theta V, but for the price it would have been nice if they could have also included a simple hardshell case with a soft inner material to protect the lenses. - I've already mentioned the fact that you can't buy extra batteries, but another thing worth mentioning is the battery life. I know I listed it as a pro because for me personally the battery lasted long enough, but like I said above, if you plan on using it professionally I expect that you will feel very limited by the life of the internal battery. - Poor connectivity - in my experience with the Theta V, the wifi range is extremely poor especially outdoors. My phone would drop the connection to the camera if I was moving around, and even when I was standing just a few feet away from the Theta it would still disconnect and none of the app features would work until I reconnected the wifi connection. Again, this is just another inconvenience that, when paired with the rest of them, makes for a frustrating user experience a lot of the time. If the wifi connection wasn't such garbage and you could start/stop recording from a number of feet away (like you should be able to) then it would be so much better. - As easy as the software is to use, it's still kind of a pain that you need special software to convert or play these videos. I understand that is just the nature of the beast of 360 videos, but it's still a con as far as I'm concerned. - Price. Obviously I have no idea what it costs to design or manufacture a device like this, but based on my use and experience with it, I would say that a price tag of around $300-400 would seem much more reasonable, especially given its limitations. In my opinion $500+ is a lot of money to spend on this item which is certainly neat but has some serious and restrictive shortcomings. - In my experience it is ideal to use mounted on a stationary tripod. Not only is the 360 video a bit hard to watch if the camera is also in motion, but the stitching from the software that removes the Theta from the frame becomes really noticeable and weird-looking when the pixels around it are moving. - Very poor dynamic range, especially in low light - I wouldn't expect the low-light performance of any $500 camera to be great, but even with that being said it is quite awful. The dynamic range is much better when there's lots of available light, but if you're shooting in an area that's even slightly dim you will lose almost all of the detail in any dark or shadowy part of the frame. - I would have liked the ability to rotate a recording within the app whether before or after filming. For example, so you could hold the Theta upside down in order to get an extremely low angle. Perhaps this is a feature and I just didn't see it, but I don't think it's possible and I think that a rotation option would make it a lot more versatile. - The total remaining recording time left on your internal memory is hidden in the live view settings - I'm listing this is a con because I think this information should absolutely be displayed on the main app/live view screen, not buried in a menu somewhere. When you're limited to 19GB of internal memory, it becomes extremely important to manage your space and I think that would be much easier if the remaining memory was always visible within the app, just like the battery meter. All in all, the Theta V is a really neat and interesting piece of equipment that does a relatively good job of recording 360 video and audio in a fairly simple way. However, it has some pretty significant limitations that make it impossible for me to be able to justify keeping it. I think that if Ricoh addresses some of these problems for the next version of the Theta, it could be a truly wonderful device that would absolutely have a spot in my camera bag. But for now it feels like something that is almost there but just not quite enough to be worth having at this point in time.","December 5, 2017",Chris P. Bacon
"Good dynamic range and companion apps, but disappointing build-quality",2.0,"As my 360 virtual tour business started taking off, I ""upgraded"" to this camera and though I really wanted to like it, I was very disappointed in the build-quality. The first unit I ordered had one of its lenses misaligned, making half the 360 image blurry, so I had to return it. But once I received the replacement unit and used it on the very first project, I found that it had the same exact problem as the first one. The attached photo, taken in good lighting conditions, illustrates the misalignment of one lens making the whole right-side of the spherical image blurry and as you can see the resolution is not that great either. The only reason I did not give a one-star rating is because of the good dynamic range and decent companion apps.","September 3, 2018",Kris Tarr
Not worth the price.,3.0,"I didn't expect the greatest but for $560 CAD, I expected more quality than what I'm getting. My 360 tours looked like I used a 2009 phone with 25 megapixels. The noise and chromatic abberation is pretty bad. However I need it for my job and the only affordable option for the platform I'm using. This is at most a $300-$400 camera.","May 15, 2020",VN
Not durable enough to absorb a 2 feet fall.,2.0,"Used this extensively in our European tour. It took very good 360 photos and videos. It fell flat on a cobbled stone road while on a slim tripod, the 2 lenses survived the impact but not the unit. It starts up for a few seconds then a beep and red light goes off then powers off. I am now sending to Ricoh service for a fix under warranty. Not a durable product and I am disappointed.","October 27, 2019",JP King
"Excellent, easy to use, but image quality - not the best",4.0,"Excellent for non-professional 3D photographers; Image is not as good as I expected.  Ricoh Theta Z1 is probably better to obtain higher image quality. However, it is Overpriced and it can be damaged easily (no protection anti-shock by design, so be extra-cateful!). Here it is my story: After using my new V camera less than 3 weeks, a powerful wind took it down with the tripod; I was lucky as the lens were not damaged. AND, again lucky to avoid a huge repair price provided by the service, and made it work again by myself (I have optoelectrinics background). So far, all works great, the only thing that bothers me is the image quality (obviously depends on the lens) I reccommend the device - it is a wonderful technological work in progress - well done and delightful!","September 21, 2020",Sanda Iordachescu
J'adore!,5.0,"J'ai acheter cette appareil pour mes voyages, puisque j'étais tannée de chercher des angles parfait ou des parametres parfaits pour prendre des photos. Je l'adore! Il capte le moment présent, la qualité est géniale et toutes mes photos sont toujours très apprécié par mon entourage!","December 29, 2019",Marie-Annick Cloutier
Cracked upon delivery,2.0,"The product was cracked open leaving a gap! I was able to snap it back together without any issues and looks good as new however, we had to return it because we weren't too sure about the quality especially when we witnessed it being broken the moment we received it. Its not the cheapest camera, sadly not the quality we were expecting.","November 21, 2018",Stephanie
Parfait pour visite 360 en immobilier,5.0,Je suis courtier immobilier je peu maintenant faire mes propres visites 360 La qualité d’image est très bien et ont peu toujours les améliorer aussi avec un logiciel. Garder en tête par contre que vous devez avoir un abonnement d’environ 450$/année pour avoir accès au lien 360 de vos montages. Avec le logiciel tours de Ricoh. Mais c est la même chose avec peu importe la caméra. Très facile de faire le Montage 360 directement avec votre téléphone. Bien satisfaite,"September 6, 2020",Dominique
Quality product. Quality images.,5.0,"I bought this for my husband. He loved it. Found it easy to use, and like the picture quality he was getting. Also seemed to have decent battery life. Another great feature is the option to purchase an underwater housing for it too. Being avid scuba divers, we look forward to trying it underwater on our next dive trip!","January 25, 2019",Lil_Chickita
Connaître les glitchs permet d'obtenir les meilleures photos,4.0,"Allez vous informer en ligne sur comment activer le balancement des blancs et des tonalités, car c'est avec ça que vous pourrez prendre les meilleures photos qui ne sont pas pixelisées. Les gens ici qui disent que l'image est pixelisée se sont simplement butées aux glitchs dans les paramètres de l'application. Une fois que j'ai su comment activier le hdr, configurer le balancement des blancs, iso etc c'est là que j'ai pris mes meilleures photos.","September 4, 2020",Amazon Customer
